MAROB_ID_1,MAROB_ID_2,messzeit,kennung,geogr_breite,geogr_laenge,Score
8101564,8101523,1,1.0,1.0,1.0,1.0
8220052,8220072,1,1.0,1.0,1.0,1.0
9103578,9103588,1,1.0,1.0,1.0,1.0
10080131,10080144,1,1.0,1.0,1.0,1.0
10186696,10186640,1,1.0,1.0,1.0,1.0
10310318,10310439,1,1.0,1.0,1.0,1.0
10424522,10424479,1,1.0,1.0,1.0,1.0
10547265,10547406,1,1.0,1.0,1.0,1.0
10667405,10667300,1,1.0,1.0,1.0,1.0
10779009,10779020,1,1.0,1.0,1.0,1.0
10745914,10746019,1,1.0,1.0,1.0,1.0
10774357,10774233,1,1.0,1.0,1.0,1.0
10802671,10802697,1,1.0,1.0,1.0,1.0
7901907,7901709,1,1.0,1.0,1.0,1.0
7939105,7938792,1,1.0,1.0,1.0,1.0
8001482,8000782,1,1.0,1.0,1.0,1.0
8047406,8047160,1,1.0,1.0,1.0,1.0
8100184,8100011,1,1.0,1.0,1.0,1.0
8156932,8156445,1,1.0,1.0,1.0,1.0
8209014,8208800,1,1.0,1.0,1.0,1.0
8261425,8260369,1,1.0,1.0,1.0,1.0
8321900,8321843,1,1.0,1.0,1.0,1.0
8446026,8444987,1,1.0,1.0,1.0,1.0
8475613,8475386,1,1.0,1.0,1.0,1.0
8510893,8509874,1,1.0,1.0,1.0,1.0
8543495,8543191,1,1.0,1.0,1.0,1.0
8580584,8580334,1,1.0,1.0,1.0,1.0
8642204,8642025,1,1.0,1.0,1.0,1.0
8714223,8713293,1,1.0,1.0,1.0,1.0
8776336,8776196,1,1.0,1.0,1.0,1.0
8838292,8838058,1,1.0,1.0,1.0,1.0
9222015,9220592,1,1.0,1.0,1.0,1.0
9471053,9470729,1,1.0,1.0,1.0,1.0
9533883,9533392,1,1.0,1.0,1.0,1.0
9595973,9595856,1,1.0,1.0,1.0,1.0
9657817,9657311,1,1.0,1.0,1.0,1.0
9671986,9671071,1,1.0,1.0,1.0,1.0
9719107,9718726,1,1.0,1.0,1.0,1.0
9735328,9733807,1,1.0,1.0,1.0,1.0
9780647,9780389,1,1.0,1.0,1.0,1.0
9793277,9793093,1,1.0,1.0,1.0,1.0
9825568,9825296,1,1.0,1.0,1.0,1.0
9883297,9883171,1,1.0,1.0,1.0,1.0
9912700,9912370,1,1.0,1.0,1.0,1.0
9940089,9939872,1,1.0,1.0,1.0,1.0
10003591,10003425,1,1.0,1.0,1.0,1.0
10063890,10063529,1,1.0,1.0,1.0,1.0
10092998,10092059,1,1.0,1.0,1.0,1.0
10124483,10124224,1,1.0,1.0,1.0,1.0
10187216,10185513,1,1.0,1.0,1.0,1.0
10213532,10213362,1,1.0,1.0,1.0,1.0
10245049,10244497,1,1.0,1.0,1.0,1.0
10305791,10305247,1,1.0,1.0,1.0,1.0
10331345,10331184,1,1.0,1.0,1.0,1.0
10363262,10362796,1,1.0,1.0,1.0,1.0
10542828,10543204,1,1.0,1.0,1.0,1.0
10601218,10601405,1,1.0,1.0,1.0,1.0
10708873,10709311,1,1.0,1.0,1.0,1.0
8049426,8049341,1,1.0,1.0,1.0,1.0
7490854,7490904,1,1.0,1.0,1.0,1.0
7669309,7669381,1,1.0,1.0,1.0,1.0
7730340,7730413,1,1.0,1.0,1.0,1.0
7792043,7792032,1,1.0,1.0,1.0,1.0
8076470,8076503,1,1.0,1.0,1.0,1.0
8129824,8129795,1,1.0,1.0,1.0,1.0
8239300,8239222,1,1.0,1.0,1.0,1.0
8794747,8794715,1,1.0,1.0,1.0,1.0
9057992,9058022,1,1.0,1.0,1.0,1.0
9304422,9304326,1,1.0,1.0,1.0,1.0
9361638,9361554,1,1.0,1.0,1.0,1.0
9425319,9425344,1,1.0,1.0,1.0,1.0
9493117,9493059,1,1.0,1.0,1.0,1.0
9555798,9555764,1,1.0,1.0,1.0,1.0
9679479,9679544,1,1.0,1.0,1.0,1.0
9740204,9740151,1,1.0,1.0,1.0,1.0
9979857,9979871,1,1.0,1.0,1.0,1.0
10040734,10040771,1,1.0,1.0,1.0,1.0
10094981,10095056,1,1.0,1.0,1.0,1.0
10399726,10399774,1,1.0,1.0,1.0,1.0
10630295,10630198,1,1.0,1.0,1.0,1.0
10694788,10694688,1,1.0,1.0,1.0,1.0
10745915,10746014,1,1.0,1.0,1.0,1.0
10806873,10806928,1,1.0,1.0,1.0,1.0
7213206,7213187,1,1.0,1.0,1.0,1.0
7243258,7243291,1,1.0,1.0,1.0,1.0
7243259,7243291,1,1.0,1.0,1.0,1.0
7243259,7243258,1,1.0,1.0,1.0,1.0
7254457,7254493,1,1.0,1.0,1.0,1.0
7274503,7274491,1,1.0,1.0,1.0,1.0
7315518,7315563,1,1.0,1.0,1.0,1.0
7315519,7315563,1,1.0,1.0,1.0,1.0
7315519,7315518,1,1.0,1.0,1.0,1.0
7315509,7315557,1,1.0,1.0,1.0,1.0
7335573,7335488,1,1.0,1.0,1.0,1.0
7370436,7370510,1,1.0,1.0,1.0,1.0
7370435,7370510,1,1.0,1.0,1.0,1.0
7370435,7370436,1,1.0,1.0,1.0,1.0
7377859,7377855,1,1.0,1.0,1.0,1.0
7401200,7401161,1,1.0,1.0,1.0,1.0
7432361,7432415,1,1.0,1.0,1.0,1.0
7455287,7455338,1,1.0,1.0,1.0,1.0
7505768,7505822,1,1.0,1.0,1.0,1.0
7515857,7515729,1,1.0,1.0,1.0,1.0
7572374,7572345,1,1.0,1.0,1.0,1.0
7572376,7572350,1,1.0,1.0,1.0,1.0
7632944,7632978,1,1.0,1.0,1.0,1.0
7658919,7658939,1,1.0,1.0,1.0,1.0
7720047,7719743,1,1.0,1.0,1.0,1.0
7719825,7719743,1,1.0,1.0,1.0,1.0
7719825,7720047,1,1.0,1.0,1.0,1.0
7719828,7719746,1,1.0,1.0,1.0,1.0
7724832,7724984,1,1.0,1.0,1.0,1.0
