MAROB_ID_1,MAROB_ID_2,messzeit,kennung,geogr_breite,geogr_laenge,horizontale_sicht,wetter2,Score
8826705,8764664,1,1,0.9993763620805105,0.9997227795604652,1.0,1.0,0.9998498569401626
8826705,8765291,1,1,1.0,1.0,1.0,0.0,0.8333333333333334
8826865,8826904,1,1,1.0,1.0,1.0,1.0,1.0
8765522,8826904,1,1,0.9395227492140101,0.9930924954370347,1.0,1.0,0.9887692074418407
8765522,8826865,1,1,0.9395227492140101,0.9930924954370347,1.0,1.0,0.9887692074418407
8765503,8826904,1,1,0.9395227492140101,0.9930924954370347,1.0,1.0,0.9887692074418407
8765503,8826865,1,1,0.9395227492140101,0.9930924954370347,1.0,1.0,0.9887692074418407
8765503,8765522,1,1,1.0,1.0,1.0,1.0,1.0
8826040,8764676,1,1,1.0,1.0,1.0,1.0,1.0
8765295,8764676,1,1,0.9993763620805105,0.9982686325973926,1.0,1.0,0.9996074991129839
8765295,8826040,1,1,0.9993763620805105,0.9982686325973926,1.0,1.0,0.9996074991129839
8826700,8764676,1,1,0.9993763620805105,0.9982686325973926,1.0,1.0,0.9996074991129839
8826700,8826040,1,1,0.9993763620805105,0.9982686325973926,1.0,1.0,0.9996074991129839
8826700,8765295,1,1,1.0,1.0,1.0,0.0,0.8333333333333334
8773460,8773442,1,1,1.0,1.0,1.0,1.0,1.0
8771897,8770785,1,1,1.0,1.0,1.0,1.0,1.0
8765306,8826715,1,1,1.0,1.0,1.0,0.0,0.8333333333333334
8764708,8826715,1,1,0.9988915792636801,0.9982686325973925,1.0,1.0,0.9995267019768455
8764708,8765306,1,1,0.9988915792636801,0.9982686325973925,1.0,1.0,0.9995267019768455
8826064,8826715,1,1,0.9988915792636801,0.9982686325973925,1.0,1.0,0.9995267019768455
8826064,8765306,1,1,0.9988915792636801,0.9982686325973925,1.0,1.0,0.9995267019768455
8826064,8764708,1,1,1.0,1.0,1.0,1.0,1.0
8765274,8826676,1,1,0.0024004157227339243,0.35040614973191153,1.0,0.0,0.5588010942424408
8764685,8826676,1,1,0.002121940619941063,0.33856388673422316,1.0,1.0,0.7234476378923607
8764685,8765274,1,1,0.9993763620805105,0.9997227795604651,1.0,1.0,0.9998498569401626
8826098,8826676,1,1,0.9997227795604651,0.9982686325973925,1.0,1.0,0.999665235359643
8826098,8765274,1,1,0.0022112839373956156,0.32121251300090153,1.0,1.0,0.7205706328230495
8826098,8764685,1,1,0.001953125,0.3099269249847462,1.0,1.0,0.7186466749974576
8826671,8826065,1,1,0.9988915792636801,0.9999306876841535,1.0,1.0,0.9998037111579722
8765271,8826065,1,1,0.5632705699547399,2.246614908725384e-09,1.0,1.0,0.7605450953668925
8765271,8826671,1,1,0.5349589144501421,2.085586072868871e-09,1.0,0.0,0.5891598194226213
8764665,8826065,1,1,0.5703818579342128,1.6671141068040973e-09,1.0,1.0,0.7617303099335544
8764665,8826671,1,1,0.5420132405711765,1.5467637447459308e-09,1.0,1.0,0.7570022070196568
8764665,8765271,1,1,0.9999306876841536,0.9988915792636801,1.0,1.0,0.9998037111579722
8826673,8826089,1,1,1.0,0.9988915792636798,1.0,1.0,0.9998152632106132
8765278,8826089,1,1,0.9997227795604651,0.9982686325973917,1.0,1.0,0.9996652353596428
8765278,8826673,1,1,0.9997227795604651,0.9999306876841535,1.0,0.0,0.8332755778741031
8764697,8826089,1,1,1.0,1.0,1.0,1.0,1.0
8764697,8826673,1,1,1.0,0.9988915792636798,1.0,1.0,0.9998152632106132
8764697,8765278,1,1,0.9997227795604651,0.9982686325973917,1.0,1.0,0.9996652353596428
